MIP: 10teams.mps
LP relaxation result: 917


clique constraint 1 -> c142: x226  + x228  + x230  + x233  + x237  + x242  + x248  + x255  + x263  + x271  + x273  + x275  + x278  + x282  + x287  + x293  + x300  + x308  + x316  + x318  + x320  + x323  + x327  + x332  + x338  + x345  + x353  + x361  + x363  + x365  + x368  + x372  + x377  + x383  + x390  + x398  + x406  + x408  + x410  + x413  + x417  + x422  + x428  + x435  + x443  == 1 
Var    setTo0      setTo1
x226[0..1]  917 -1
x228[0..1]  917 950
x230[0..1]  917 937
x233[0..1]  917 940
x237[0..1]  917 928
x242[0..1]  917 -1
x248[0..1]  917 917
x255[0..1]  917 925
x263[0..1]  917 925
x271[0..1]  917 925
x273[0..1]  917 950
x275[0..1]  917 965
x278[0..1]  917 950
x282[0..1]  917 -1
x287[0..1]  917 928
x293[0..1]  917 930
x300[0..1]  917 917
x308[0..1]  917 917
x316[0..1]  917 917
x318[0..1]  917 917
x320[0..1]  917 917
x323[0..1]  917 950
x327[0..1]  917 959
x332[0..1]  917 -1
x338[0..1]  917 917
x345[0..1]  917 917
x353[0..1]  917 917
x361[0..1]  917 917
x363[0..1]  917 925
x365[0..1]  917 950
x368[0..1]  917 917
x372[0..1]  917 937
x377[0..1]  917 955
x383[0..1]  917 937
x390[0..1]  917 917
x398[0..1]  917 917
x406[0..1]  917 -1
x408[0..1]  917 917
x410[0..1]  917 917
x413[0..1]  917 925
x417[0..1]  917 917
x422[0..1]  917 937
x428[0..1]  917 950
x435[0..1]  917 925
x443[0..1]  917 924

clique constraint 2 -> c143: x451  + x453  + x455  + x458  + x462  + x467  + x473  + x480  + x488  + x496  + x498  + x500  + x503  + x507  + x512  + x518  + x525  + x533  + x541  + x543  + x545  + x548  + x552  + x557  + x563  + x570  + x578  + x586  + x588  + x590  + x593  + x597  + x602  + x608  + x615  + x623  + x631  + x633  + x635  + x638  + x642  + x647  + x653  + x660  + x668  == 1 
Var    setTo0      setTo1
x451[0..1]  917 917
x453[0..1]  917 917
x455[0..1]  917 925
x458[0..1]  917 917
x462[0..1]  917 917
x467[0..1]  917 917
x473[0..1]  917 950
x480[0..1]  917 933
x488[0..1]  917 917
x496[0..1]  917 917
x498[0..1]  917 917
x500[0..1]  917 917
x503[0..1]  917 917
x507[0..1]  917 939.5
x512[0..1]  917 917
x518[0..1]  917 917
x525[0..1]  917 957
x533[0..1]  917 933
x541[0..1]  917 917
x543[0..1]  917 918
x545[0..1]  917 917
x548[0..1]  917 917
x552[0..1]  917 917
x557[0..1]  917 940
x563[0..1]  917 923
x570[0..1]  917 917
x578[0..1]  917 944
x586[0..1]  917 923
x588[0..1]  917 917
x590[0..1]  917 917
x593[0..1]  917 919
x597[0..1]  917 917
x602[0..1]  917 917
x608[0..1]  917 917
x615[0..1]  917 944
x623[0..1]  917 944
x631[0..1]  917 933
x633[0..1]  917 933
x635[0..1]  917 923
x638[0..1]  917 917
x642[0..1]  917 -1
x647[0..1]  917 917
x653[0..1]  917 917
x660[0..1]  917 917
x668[0..1]  917 917

clique constraint 3 -> c144: x676  + x678  + x680  + x683  + x687  + x692  + x698  + x705  + x713  + x721  + x723  + x725  + x728  + x732  + x737  + x743  + x750  + x758  + x766  + x768  + x770  + x773  + x777  + x782  + x788  + x795  + x803  + x811  + x813  + x815  + x818  + x822  + x827  + x833  + x840  + x848  + x856  + x858  + x860  + x863  + x867  + x872  + x878  + x885  + x893  == 1 
Var    setTo0      setTo1
x676[0..1]  917 -1
x678[0..1]  917 944
x680[0..1]  917 933
x683[0..1]  917 933
x687[0..1]  917 926
x692[0..1]  917 -1
x698[0..1]  917 917
x705[0..1]  917 923
x713[0..1]  917 923
x721[0..1]  917 923
x723[0..1]  917 944
x725[0..1]  917 957
x728[0..1]  917 938
x732[0..1]  917 -1
x737[0..1]  917 924
x743[0..1]  917 918
x750[0..1]  917 917
x758[0..1]  917 917
x766[0..1]  917 917
x768[0..1]  917 917
x770[0..1]  917 917
x773[0..1]  917 938
x777[0..1]  917 947
x782[0..1]  917 -1
x788[0..1]  917 917
x795[0..1]  917 917
x803[0..1]  917 917
x811[0..1]  917 917
x813[0..1]  917 921
x815[0..1]  917 938
x818[0..1]  917 917
x822[0..1]  917 929
x827[0..1]  917 943
x833[0..1]  917 929
x840[0..1]  917 917
