MIP: aflow40b.mps
LP relaxation result: 1005.66


clique constraint 1 -> c1: x1  + x69  + x105  + x142  + x175  + x206  + x242  + x274  + x311  + x341  + x378  + x408  + x442  + x477  + x508  + x541  + x572  + x606  + x679  + x714  + x746  + x779  + x817  + x852  + x884  + x919  + x950  + x983  + x1018  + x1053  + x1087  + x1121  + x1156  + x1190  + x1259  + x1296  + x1329  == 1 
Var    setTo0      setTo1
x1[0..1]  1005.66 1275
x69[0..1]  1005.66 1247.45
x105[0..1]  1005.66 1108.54
x142[0..1]  1005.66 1123.97
x175[0..1]  1005.66 1392.63
x206[0..1]  1005.66 1096.71
x242[0..1]  1005.66 1039.59
x274[0..1]  1005.66 1085.82
x311[0..1]  1005.66 1140.74
x341[0..1]  1005.66 1070.82
x378[0..1]  1005.66 1297.82
x408[0..1]  1005.66 1054.8
x442[0..1]  1005.66 1093.22
x477[0..1]  1005.66 1160.73
x508[0..1]  1005.66 1207.5
x541[0..1]  1005.66 1347.63
x572[0..1]  1005.66 1038.71
x606[0..1]  1005.66 1276.5
x679[0..1]  1005.66 1147.63
x714[0..1]  1005.66 1106.2
x746[0..1]  1005.66 1141.59
x779[0..1]  1005.66 1452.47
x817[0..1]  1005.66 1167.82
x852[0..1]  1005.66 1447.63
x884[0..1]  1005.66 1282.63
x919[0..1]  1005.66 1144.82
x950[0..1]  1005.66 1112.63
x983[0..1]  1005.66 1055.29
x1018[0..1]  1005.66 1058.73
x1053[0..1]  1005.66 1034.29
x1087[0..1]  1005.66 1176.46
x1121[0..1]  1005.66 1183.63
x1156[0..1]  1005.66 1023.59
x1190[0..1]  1022.42 1005.66
x1259[0..1]  1005.66 1072.74
x1296[0..1]  1005.66 1182.82
x1329[0..1]  1005.66 1022.97

clique constraint 2 -> c2: x2  + x38  + x106  + x176  + x207  + x243  + x275  + x312  + x342  + x379  + x409  + x443  + x478  + x509  + x542  + x573  + x607  + x643  + x680  + x715  + x747  + x780  + x818  + x853  + x885  + x920  + x951  + x984  + x1019  + x1054  + x1088  + x1122  + x1157  + x1191  + x1260  + x1297  + x1330  == 1 
Var    setTo0      setTo1
x2[0..1]  1005.66 1080
x38[0..1]  1005.66 1015.21
x106[0..1]  1005.66 1176.63
x176[0..1]  1005.66 1177.71
x207[0..1]  1005.66 1118.63
x243[0..1]  1005.66 1189.45
x275[0..1]  1005.66 1196.51
x312[0..1]  1005.66 1309.71
x342[0..1]  1005.66 1369.76
x379[0..1]  1005.66 1061.76
x409[0..1]  1005.66 1255.9
x443[0..1]  1005.66 1043.33
x478[0..1]  1005.66 1015.71
x509[0..1]  1005.66 1244.43
x542[0..1]  1005.66 1145.71
x573[0..1]  1005.66 1256.02
x607[0..1]  1005.71 1010.43
x643[0..1]  1010.43 1005.71
x680[0..1]  1005.66 1409.46
x715[0..1]  1005.66 1348.69
x747[0..1]  1005.66 1373.45
x780[0..1]  1005.66 1237.26
x818[0..1]  1005.66 1099.51
x853[0..1]  1005.66 1394.71
x885[0..1]  1005.66 1115.71
x920[0..1]  1005.66 1075.76
x951[0..1]  1005.66 1381.71
x984[0..1]  1005.66 1154.63
x1019[0..1]  1005.66 1199.71
x1054[0..1]  1005.66 1219.63
x1088[0..1]  1005.66 1103.42
x1122[0..1]  1005.66 1289.46
x1157[0..1]  1005.66 1117.49
x1191[0..1]  1005.66 1115.21
x1260[0..1]  1005.66 1184.71
x1297[0..1]  1005.66 1239.76
x1330[0..1]  1005.66 1055.45

clique constraint 3 -> c3: x3  + x39  + x143  + x177  + x208  + x244  + x276  + x313  + x343  + x380  + x410  + x444  + x479  + x510  + x543  + x574  + x608  + x644  + x716  + x748  + x781  + x819  + x854  + x886  + x952  + x985  + x1020  + x1055  + x1089  + x1123  + x1158  + x1192  + x1227  + x1261  + x1298  + x1331  == 1 
Var    setTo0      setTo1
x3[0..1]  1005.66 1191.71
x39[0..1]  1005.66 1047.55
x143[0..1]  1005.66 1179.49
x177[0..1]  1005.66 1182.23
x208[0..1]  1005.66 1024.95
x244[0..1]  1005.66 1181.26
x276[0..1]  1005.66 1155.25
x313[0..1]  1005.66 1164.23
x343[0..1]  1005.66 1099.87
x380[0..1]  1005.66 1115.87
x410[0..1]  1005.66 1261.64
x444[0..1]  1005.66 1241.96
x479[0..1]  1005.66 1038.77
x510[0..1]  1005.66 1084.9
x543[0..1]  1005.66 1016.77
x574[0..1]  1005.66 1208.93
x608[0..1]  1005.66 1051.85
x644[0..1]  1005.66 1343.77
x716[0..1]  1016.57 1005.66
x748[0..1]  1005.66 1061.26
x781[0..1]  1005.66 1441
x819[0..1]  1005.66 1127.25
x854[0..1]  1005.66 1085.77
x886[0..1]  1005.66 1101.77
x952[0..1]  1005.66 1029.77
x985[0..1]  1005.66 1081.61
x1020[0..1]  1005.66 1063.77
x1055[0..1]  1005.66 1137.61
x1089[0..1]  1005.66 1323.18
x1123[0..1]  1005.66 1343.46
x1158[0..1]  1005.66 1248.98
x1192[0..1]  1005.66 1176.55
x1227[0..1]  1005.66 1351.77
x1261[0..1]  1005.66 1100.23
x1298[0..1]  1005.66 1258.87
x1331[0..1]  1005.66 1113.49

clique constraint 4 -> c4: x4  + x70  + x107  + x178  + x209  + x277  + x314  + x344  + x411  + x445  + x544  + x575  + x609  + x645  + x681  + x749  + x782  + x820  + x887  + x921  + x986  + x1021  + x1056  + x1124  + x1159  + x1193  + x1228  + x1262  + x1299  + x1332  == 1 
Var    setTo0      setTo1
x4[0..1]  1005.66 1157.45
x70[0..1]  1005.66 1253.89
x107[0..1]  1005.66 1118.31
x178[0..1]  1005.66 1273.16
x209[0..1]  1005.66 1333.03
x277[0..1]  1005.66 1064.1
x314[0..1]  1005.66 1122.52
x344[0..1]  1005.66 1089.44
x411[0..1]  1005.66 1016.56
x445[0..1]  1005.66 1028.96
x544[0..1]  1005.66 1053.18
x575[0..1]  1005.66 1111.88
x609[0..1]  1005.66 1047.6
x645[0..1]  1005.66 1198.18
x681[0..1]  1005.66 1043.91
x749[0..1]  1005.66 1228.9
x782[0..1]  1005.66 1339.15
x820[0..1]  1005.66 1028.1
x887[0..1]  1005.66 1453.18
x921[0..1]  1005.66 1323.44
x986[0..1]  1005.66 1140.78
x1021[0..1]  1005.66 1423.3
x1056[0..1]  1005.66 1242.78
x1124[0..1]  1005.66 1015.91
x1159[0..1]  1005.66 1086.29
x1193[0..1]  1005.66 1081.01
x1228[0..1]  1005.66 1155.18
x1262[0..1]  1005.66 1208.52
x1299[0..1]  1005.66 1029.44
x1332[0..1]  1015.59 1005.66

clique constraint 5 -> c5: x5  + x40  + x71  + x108  + x144  + x210  + x278  + x315  + x345  + x381  + x412  + x446  + x480  + x511  + x576  + x610  + x682  + x717  + x750  + x783  + x821  + x855  + x888  + x922  + x953  + x987  + x1022  + x1057  + x1090  + x1160  + x1194  + x1229  + x1263  + x1300  + x1333  == 1 
Var    setTo0      setTo1
x5[0..1]  1005.66 1046.8
x40[0..1]  1005.66 1096.53
x71[0..1]  1005.66 1013.59
x108[0..1]  1005.66 1389.16
x144[0..1]  1005.66 1037.47
x210[0..1]  1005.66 1138.35
x278[0..1]  1005.66 1154.8
x315[0..1]  1005.66 1122.83
x345[0..1]  1006.81 1007.41
x381[0..1]  1005.66 1139.55
x412[0..1]  1005.66 1445.88
x446[0..1]  1005.66 1276.27
x480[0..1]  1005.66 1041.25
x511[0..1]  1005.66 1093.32
x576[0..1]  1005.66 1275.78
x610[0..1]  1005.66 1055.84
x682[0..1]  1007.41 1006.81
x717[0..1]  1005.66 1239.73
x750[0..1]  1005.66 1056.06
x783[0..1]  1005.66 1056.13
x821[0..1]  1005.66 1037.31
x855[0..1]  1005.66 1275.02
x888[0..1]  1005.66 1187.02
x922[0..1]  1005.66 1435.55
x953[0..1]  1005.66 1032.02
x987[0..1]  1005.66 1244.66
x1022[0..1]  1005.66 1141.44
x1057[0..1]  1005.66 1362.08
x1090[0..1]  1005.66 1412.39
x1160[0..1]  1005.66 1348.35
x1194[0..1]  1005.66 1422.53
x1229[0..1]  1005.66 1167.02
x1263[0..1]  1005.66 1284.83
x1300[0..1]  1005.66 1172.41
x1333[0..1]  1005.66 1087.47

clique constraint 6 -> c6: x6  + x41  + x72  + x109  + x145  + x179  + x279  + x316  + x346  + x413  + x447  + x512  + x545  + x577  + x611  + x646  + x683  + x718  + x784  + x822  + x856  + x889  + x923  + x954  + x988  + x1023  + x1058  + x1091  + x1125  + x1161  + x1195  + x1230  + x1264  + x1301  + x1334  == 1 
Var    setTo0      setTo1
x6[0..1]  1005.66 1223.11
x41[0..1]  1005.66 1138.11
x72[0..1]  1005.66 1389.89
x109[0..1]  1005.66 1301.59
x145[0..1]  1005.66 1207.87
x179[0..1]  1005.66 1060.82
x279[0..1]  1005.66 1126.46
x316[0..1]  1005.66 1083.59
x346[0..1]  1005.66 1145.79
x413[0..1]  1005.66 1158.8
x447[0..1]  1005.66 1163.2
x512[0..1]  1005.66 1034.34
x545[0..1]  1005.66 1012.35
x577[0..1]  1005.66 1130.74
x611[0..1]  1005.66 1432.74
x646[0..1]  1005.66 1072.35
x683[0..1]  1005.66 1340.26
x718[0..1]  1005.66 1127.89
x784[0..1]  1005.66 1418.89
x822[0..1]  1005.66 1320.77
x856[0..1]  1005.66 1281.35
x889[0..1]  1005.66 1083.35
x923[0..1]  1005.66 1086.03
x954[0..1]  1005.66 1078.35
x988[0..1]  1005.66 1080.96
x1023[0..1]  1005.66 1088.09
x1058[0..1]  1005.66 1070.6
x1091[0..1]  1005.66 1187.71
x1125[0..1]  1005.66 1204.26
x1161[0..1]  1012.35 1005.66
x1195[0..1]  1005.66 1268.11
x1230[0..1]  1005.66 1155.35
x1264[0..1]  1005.66 1055.59
x1301[0..1]  1005.66 1047.79
x1334[0..1]  1005.66 1336.87

clique constraint 7 -> c7: x7  + x42  + x73  + x110  + x146  + x180  + x211  + x280  + x347  + x382  + x414  + x448  + x612  + x647  + x684  + x719  + x751  + x785  + x823  + x857  + x890  + x924  + x955  + x989  + x1024  + x1059  + x1092  + x1126  + x1196  + x1231  + x1265  + x1302  + x1335  == 1 
Var    setTo0      setTo1
x7[0..1]  1018.52 1005.66
x42[0..1]  1005.66 1141.98
x73[0..1]  1005.66 1271.5
x110[0..1]  1005.66 1380.79
x146[0..1]  1005.66 1035.49
x180[0..1]  1005.66 1114.62
x211[0..1]  1005.66 1231.1
x280[0..1]  1005.66 1382.81
x347[0..1]  1005.66 1135.86
x382[0..1]  1005.66 1140.86
x414[0..1]  1005.66 1024.34
x448[0..1]  1005.66 1348.57
x612[0..1]  1005.66 1178.17
x647[0..1]  1005.66 1315.74
x684[0..1]  1005.66 1223.88
x719[0..1]  1005.66 1035.32
x751[0..1]  1005.66 1116.01
x785[0..1]  1005.66 1275.33
x823[0..1]  1005.66 1046.82
x857[0..1]  1005.66 1364.74
x890[0..1]  1005.66 1167.74
x924[0..1]  1005.66 1155.86
x955[0..1]  1005.66 1062.74
x989[0..1]  1005.66 1027.59
x1024[0..1]  1005.66 1155.74
x1059[0..1]  1005.66 1087.59
x1092[0..1]  1005.66 1018.66
x1126[0..1]  1005.66 1087.88
x1196[0..1]  1005.66 1227.98
x1231[0..1]  1005.66 1235.74
x1265[0..1]  1005.66 1199.74
x1302[0..1]  1005.66 1027.86
x1335[0..1]  1005.66 1065.49

clique constraint 8 -> c8: x8  + x43  + x74  + x111  + x181  + x212  + x245  + x348  + x383  + x415  + x449  + x481  + x513  + x546  + x578  + x613  + x648  + x685  + x720  + x752  + x786  + x824  + x858  + x891  + x925  + x956  + x990  + x1025  + x1060  + x1093  + x1127  + x1162  + x1197  + x1232  + x1266  + x1303  + x1336  == 1 
Var    setTo0      setTo1
x8[0..1]  1007.59 1020.55
x43[0..1]  1005.66 1307
x74[0..1]  1005.66 1014.6
x111[0..1]  1005.66 1026.46
x181[0..1]  1005.66 1075.36
x212[0..1]  1005.66 1058.83
x245[0..1]  1005.66 1040.51
x348[0..1]  1005.66 1469.87
x383[0..1]  1005.66 1268.87
x415[0..1]  1005.66 1115.37
x449[0..1]  1005.66 1196.71
x481[0..1]  1005.66 1011.38
x513[0..1]  1005.66 1287
x546[0..1]  1005.66 1149.46
x578[0..1]  1005.66 1431.82
x613[0..1]  1005.66 1181.21
x648[0..1]  1005.66 1175.46
x685[0..1]  1005.66 1236.7
x720[0..1]  1005.66 1266.55
x752[0..1]  1005.66 1342.18
x786[0..1]  1005.66 1184.39
x824[0..1]  1005.66 1025.83
x858[0..1]  1005.66 1103.46
x891[0..1]  1005.66 1163.46
x925[0..1]  1005.66 1073.87
x956[0..1]  1005.66 1031.46
x990[0..1]  1005.66 1098.93
x1025[0..1]  1005.66 1093.62
x1060[0..1]  1005.66 1084.81
x1093[0..1]  1005.66 1120.91
x1127[0..1]  1006.07 1008.16
x1162[0..1]  1005.66 1064.77
x1197[0..1]  1005.66 1133
x1232[0..1]  1006.22 1009.46
x1266[0..1]  1005.66 1370.3
x1303[0..1]  1005.66 1119.87
x1336[0..1]  1005.66 1126.97

clique constraint 9 -> c9: x44  + x75  + x112  + x147  + x182  + x213  + x246  + x281  + x349  + x416  + x450  + x482  + x514  + x579  + x614  + x649  + x686  + x721  + x753  + x787  + x859  + x892  + x926  + x957  + x991  + x1026  + x1094  + x1128  + x1163  + x1198  + x1233  + x1267  + x1304  + x1337  == 1 
Var    setTo0      setTo1
x44[0..1]  1005.66 1091.95
x75[0..1]  1005.66 1026.43
x112[0..1]  1005.66 1264.43
x147[0..1]  1005.66 1077.95
x182[0..1]  1005.66 1184.35
x213[0..1]  1005.66 1228.31
x246[0..1]  1005.66 1068.1
x281[0..1]  1005.66 1070.87
x349[0..1]  1005.66 1159.18
x416[0..1]  1005.66 1049.13
x450[0..1]  1005.66 1108.54
x482[0..1]  1005.66 1109.22
x514[0..1]  1005.66 1241.49
x579[0..1]  1005.66 1088.02
x614[0..1]  1005.66 1274.07
x649[0..1]  1005.66 1463.68
x686[0..1]  1005.66 1226.39
x721[0..1]  1005.66 1062.88
x753[0..1]  1005.66 1221.11
x787[0..1]  1005.66 1228.89
x859[0..1]  1005.66 1228.97
x892[0..1]  1005.66 1052.68
x926[0..1]  1005.66 1254.57
x957[0..1]  1005.66 1010.66
x991[0..1]  1005.66 1059.89
x1026[0..1]  1005.66 1370.19
x1094[0..1]  1005.66 1019.44
x1128[0..1]  1005.66 1214.76
x1163[0..1]  1005.66 1167.86
x1198[0..1]  1005.66 1046.95
x1233[0..1]  1005.66 1296.68
x1267[0..1]  1010.66 1005.66
x1304[0..1]  1005.66 1385.18
x1337[0..1]  1005.66 1123.95

clique constraint 10 -> c10: x9  + x45  + x76  + x113  + x148  + x183  + x214  + x247  + x282  + x317  + x384  + x417  + x451  + x483  + x515  + x547  + x580  + x615  + x650  + x687  + x722  + x754  + x788  + x825  + x860  + x893  + x927  + x1027  + x1061  + x1095  + x1164  + x1199  + x1234  + x1268  + x1305  + x1338  == 1 
Var    setTo0      setTo1
x9[0..1]  1005.66 1068.06
x45[0..1]  1005.66 1270.7
x76[0..1]  1005.66 1085.73
x113[0..1]  1005.66 1036.23
x148[0..1]  1005.66 1144.13
x183[0..1]  1005.66 1079.69
x214[0..1]  1005.66 1010.15
x247[0..1]  1005.66 1211.62
x282[0..1]  1005.66 1066.25
x317[0..1]  1005.66 1065.93
x384[0..1]  1005.66 1038.13
x417[0..1]  1005.66 1314.71
x451[0..1]  1005.66 1056.02
x483[0..1]  1005.66 1155.44
x515[0..1]  1005.66 1162.29
x547[0..1]  1005.66 1113.06
x580[0..1]  1005.66 1044.95
x615[0..1]  1005.66 1086.88
x650[0..1]  1005.66 1265.06
x687[0..1]  1005.66 1026.31
x722[0..1]  1005.66 1097.46
x754[0..1]  1005.66 1110.95
x788[0..1]  1006.77 1036.05
x825[0..1]  1005.66 1023.55
x860[0..1]  1005.66 1260.06
x893[0..1]  1005.66 1249.06
x927[0..1]  1010.15 1006.77
x1027[0..1]  1005.66 1058.51
x1061[0..1]  1005.66 1105.94
x1095[0..1]  1005.66 1238.44
x1164[0..1]  1005.66 1233.73
x1199[0..1]  1005.66 1130.7
x1234[0..1]  1005.66 1113.06
x1268[0..1]  1005.66 1223.93
x1305[0..1]  1005.66 1137.25
x1338[0..1]  1005.66 1114.13

clique constraint 11 -> c11: x10  + x46  + x77  + x114  + x149  + x184  + x215  + x248  + x283  + x318  + x350  + x418  + x452  + x484  + x516  + x548  + x616  + x651  + x688  + x723  + x755  + x789  + x826  + x861  + x894  + x928  + x958  + x992  + x1028  + x1062  + x1096  + x1129  + x1165  + x1200  + x1235  + x1269  + x1306  + x1339  == 1 
Var    setTo0      setTo1
x10[0..1]  1005.66 1092.48
x46[0..1]  1005.66 1090.69
x77[0..1]  1005.66 1087.64
x114[0..1]  1005.66 1279.6
x149[0..1]  1005.66 1327.09
x184[0..1]  1005.66 1339.25
x215[0..1]  1005.66 1054.15
x248[0..1]  1005.66 1102.1
x283[0..1]  1005.66 1293.62
x318[0..1]  1005.66 1299.65
x350[0..1]  1005.66 1223.48
x418[0..1]  1006.23 1011.25
x452[0..1]  1011.25 1006.23
x484[0..1]  1005.66 1069.13
x516[0..1]  1005.66 1068.46
x548[0..1]  1005.66 1025.12
x616[0..1]  1005.66 1161.65
x651[0..1]  1005.66 1328.33
x688[0..1]  1005.66 1131.91
x723[0..1]  1005.66 1202.99
x755[0..1]  1005.66 1054.87
x789[0..1]  1005.66 1152.75
x826[0..1]  1005.66 1090.42
x861[0..1]  1005.66 1171.12
x894[0..1]  1005.66 1049
x928[0..1]  1005.66 1097.5
x958[0..1]  1005.66 1386.67
x992[0..1]  1005.66 1241.91
x1028[0..1]  1005.66 1075.28
x1062[0..1]  1005.66 1436.08
x1096[0..1]  1005.66 1211.46
x1129[0..1]  1005.66 1152.95
x1165[0..1]  1005.66 1076.09
x1200[0..1]  1005.66 1090.69
x1235[0..1]  1005.66 1394.95
x1269[0..1]  1005.66 1218.65
x1306[0..1]  1005.66 1419.48
x1339[0..1]  1005.66 1267.09

clique constraint 12 -> c12: x11  + x47  + x78  + x115  + x150  + x185  + x216  + x249  + x284  + x319  + x351  + x385  + x453  + x517  + x549  + x617  + x652  + x689  + x724  + x756  + x790  + x827  + x862  + x895  + x929  + x993  + x1029  + x1063  + x1097  + x1130  + x1166  + x1201  + x1236  + x1270  + x1307  + x1340  == 1 
Var    setTo0      setTo1
x11[0..1]  1005.66 1091.68
x47[0..1]  1005.66 1307.08
x78[0..1]  1005.66 1147.36
x115[0..1]  1005.66 1026.5
x150[0..1]  1005.66 1075.32
x185[0..1]  1005.66 1329.69
x216[0..1]  1005.66 1197.9
x249[0..1]  1005.66 1057.56
x284[0..1]  1005.66 1086.27
x319[0..1]  1005.66 1174.31
x351[0..1]  1005.66 1113.71
x385[0..1]  1005.66 1133.86
x453[0..1]  1005.66 1074.34
x517[0..1]  1005.66 1086.97
x549[0..1]  1005.66 1044.37
x617[0..1]  1005.66 1343.71
x652[0..1]  1005.66 1111.37
x689[0..1]  1005.66 1203.94
x724[0..1]  1005.66 1021.03
x756[0..1]  1005.66 1323.56
x790[0..1]  1019.16 1005.66
x827[0..1]  1005.66 1041.37
x862[0..1]  1005.66 1193.37
x895[0..1]  1005.66 1078.37
x929[0..1]  1005.66 1091.86
x993[0..1]  1005.66 1026.78
x1029[0..1]  1005.66 1436.86
x1063[0..1]  1005.66 1189.78
x1097[0..1]  1005.66 1033.4
x1130[0..1]  1005.66 1103.94
x1166[0..1]  1005.66 1196.88
x1201[0..1]  1005.66 1084.08
x1236[0..1]  1005.66 1331.37
x1270[0..1]  1005.66 1035.31
x1307[0..1]  1005.66 1321.71
x1340[0..1]  1005.66 1372.32

clique constraint 13 -> c13: x12  + x79  + x116  + x151  + x186  + x217  + x250  + x285  + x320  + x352  + x419  + x485  + x518  + x550  + x581  + x618  + x653  + x690  + x725  + x757  + x791  + x828  + x896  + x930  + x959  + x994  + x1064  + x1098  + x1131  + x1167  + x1202  + x1237  + x1271  + x1341  == 1 
Var    setTo0      setTo1
x12[0..1]  1005.66 1081.19
x79[0..1]  1005.66 1111.3
x116[0..1]  1005.66 1308.7
x151[0..1]  1005.66 1036.88
x186[0..1]  1005.66 1236.45
x217[0..1]  1005.66 1429.85
x250[0..1]  1005.66 1273.67
x285[0..1]  1005.66 1371.67
x320[0..1]  1005.66 1071.45
x352[0..1]  1005.66 1099.45
x419[0..1]  1005.66 1063.31
x485[0..1]  1005.66 1154.44
x518[0..1]  1005.66 1070.05
x550[0..1]  1005.66 1137.44
x581[0..1]  1005.66 1104.69
x618[0..1]  1005.66 1103.4
x653[0..1]  1005.66 1214.34
x690[0..1]  1005.66 1218.26
x725[0..1]  1006.01 1032.9
x757[0..1]  1005.66 1097.28
x791[0..1]  1009.19 1006.01
x828[0..1]  1005.66 1013.54
x896[0..1]  1005.66 1069.44
x930[0..1]  1005.66 1161.45
x959[0..1]  1005.66 1280.44
x994[0..1]  1005.66 1255.9
x1064[0..1]  1005.66 1118.8
x1098[0..1]  1005.66 1383.17
x1131[0..1]  1005.66 1494.92
x1167[0..1]  1005.66 1392.66
x1202[0..1]  1005.66 1247.23
x1237[0..1]  1005.66 1175.34
x1271[0..1]  1005.66 1044.45
x1341[0..1]  1005.66 1147.88

clique constraint 14 -> c14: x13  + x48  + x80  + x117  + x152  + x187  + x218  + x251  + x286  + x321  + x353  + x386  + x420  + x454  + x551  + x582  + x619  + x654  + x691  + x726  + x758  + x792  + x829  + x863  + x897  + x931  + x960  + x995  + x1030  + x1065  + x1099  + x1132  + x1168  + x1203  + x1238  + x1272  + x1308  + x1342  == 1 
Var    setTo0      setTo1
x13[0..1]  1005.66 1053.55
x48[0..1]  1005.66 1353.72
x80[0..1]  1005.66 1059.52
x117[0..1]  1005.66 1104.63
x152[0..1]  1005.66 1182.93
x187[0..1]  1005.66 1040.74
x218[0..1]  1005.66 1058.52
x251[0..1]  1005.66 1119.37
x286[0..1]  1005.66 1112.73
x321[0..1]  1005.66 1251.02
x353[0..1]  1005.66 1220.91
x386[0..1]  1005.66 1485.91
x420[0..1]  1005.66 1026.41
x454[0..1]  1005.66 1105.53
x551[0..1]  1005.66 1087.66
x582[0..1]  1005.66 1036.49
x619[0..1]  1005.66 1018.33
x654[0..1]  1005.66 1290.66
x691[0..1]  1005.66 1298.49
x726[0..1]  1005.66 1047.5
x758[0..1]  1005.66 1024.38
x792[0..1]  1005.66 1329.75
x829[0..1]  1005.66 1252.73
x863[0..1]  1005.66 1350.66
x897[0..1]  1005.66 1179.66
x931[0..1]  1005.66 1190.91
x960[0..1]  1005.66 1035.66
x995[0..1]  1005.66 1059.25
x1030[0..1]  1018.33 1005.66
x1065[0..1]  1005.66 1137.25
x1099[0..1]  1005.66 1110.06
x1132[0..1]  1005.66 1084.49
x1168[0..1]  1005.66 1462.68
x1203[0..1]  1005.66 1091.72
x1238[0..1]  1005.66 1029.66
x1272[0..1]  1005.66 1039.02
