MIP: misc07.mps
LP relaxation result: 1415


clique constraint 1 -> c2: x1  + x2  + x3  + x4  + x5  + x6  + x7  + x8  + x9  + x10  + x11  + x12  + x13  + x14  + x15  + x16  + x17  + x18  + x19  + x20  + x21  + x22  + x23  + x24  + x25  + x26  + x27  == 1 
Var    setTo0      setTo1
x1[0..1]  1415 -1
x2[0..1]  1415 1415
x3[0..1]  1415 -1
x4[0..1]  1415 1415
x5[0..1]  1415 -1
x6[0..1]  1415 1415
x7[0..1]  1415 1475
x8[0..1]  1415 1475
x9[0..1]  1415 1475
x10[0..1]  1415 1515
x11[0..1]  1415 1515
x12[0..1]  1415 1515
x13[0..1]  1415 1912.5
x14[0..1]  1415 1912.5
x15[0..1]  1415 1912.5
x16[0..1]  1415 1937.5
x17[0..1]  1415 1937.5
x18[0..1]  1415 1937.5
x19[0..1]  1415 1685
x20[0..1]  1415 1685
x21[0..1]  1415 1685
x22[0..1]  1415 1535
x23[0..1]  1415 1535
x24[0..1]  1415 1535
x25[0..1]  1415 1883.21
x26[0..1]  1415 1883.21
x27[0..1]  1415 1883.21

clique constraint 2 -> c3: x28  + x29  + x30  + x31  + x32  + x33  + x34  + x35  + x36  + x37  + x38  + x39  + x40  + x41  + x42  + x43  + x44  + x45  + x46  + x47  + x48  + x49  + x50  + x51  + x52  + x53  + x54  == 1 
Var    setTo0      setTo1
x28[0..1]  1415 1807.14
x29[0..1]  1415 1807.14
x30[0..1]  1415 1807.14
x31[0..1]  1415 1475
x32[0..1]  1415 1475
x33[0..1]  1415 1475
x34[0..1]  1415 -1
x35[0..1]  1415 1415
x36[0..1]  1415 -1
x37[0..1]  1415 1415
x38[0..1]  1415 -1
x39[0..1]  1415 1415
x40[0..1]  1415 1460
x41[0..1]  1415 1460
x42[0..1]  1415 1460
x43[0..1]  1415 1997.5
x44[0..1]  1415 1997.5
x45[0..1]  1415 1997.5
x46[0..1]  1415 2022.5
x47[0..1]  1415 2022.5
x48[0..1]  1415 2022.5
x49[0..1]  1415 1782.5
x50[0..1]  1415 1782.5
x51[0..1]  1415 1782.5
x52[0..1]  1415 1565
x53[0..1]  1415 1565
x54[0..1]  1415 1565

clique constraint 3 -> c4: x55  + x56  + x57  + x58  + x59  + x60  + x61  + x62  + x63  + x64  + x65  + x66  + x67  + x68  + x69  + x70  + x71  + x72  + x73  + x74  + x75  + x76  + x77  + x78  + x79  + x80  + x81  == 1 
Var    setTo0      setTo1
x55[0..1]  1415 1963.21
x56[0..1]  1415 1963.21
x57[0..1]  1415 1963.21
x58[0..1]  1415 1887.14
x59[0..1]  1415 1887.14
x60[0..1]  1415 1887.14
x61[0..1]  1415 1515
x62[0..1]  1415 1515
x63[0..1]  1415 1515
x64[0..1]  1415 1460
x65[0..1]  1415 1460
x66[0..1]  1415 1460
x67[0..1]  1415 -1
x68[0..1]  1415 1415
x69[0..1]  1415 -1
x70[0..1]  1415 1415
x71[0..1]  1415 -1
x72[0..1]  1415 1415
x73[0..1]  1415 1895
x74[0..1]  1415 1895
x75[0..1]  1415 1895
x76[0..1]  1415 1945
x77[0..1]  1415 1945
x78[0..1]  1415 1945
x79[0..1]  1415 1762.5
x80[0..1]  1415 1762.5
x81[0..1]  1415 1762.5

clique constraint 4 -> c5: x82  + x83  + x84  + x85  + x86  + x87  + x88  + x89  + x90  + x91  + x92  + x93  + x94  + x95  + x96  + x97  + x98  + x99  + x100  + x101  + x102  + x103  + x104  + x105  + x106  + x107  + x108  == 1 
Var    setTo0      setTo1
x82[0..1]  1415 1497.5
x83[0..1]  1415 1497.5
x84[0..1]  1415 1497.5
x85[0..1]  1415 1898.21
x86[0..1]  1415 1898.21
x87[0..1]  1415 1898.21
x88[0..1]  1415 1902.14
x89[0..1]  1415 1902.14
x90[0..1]  1415 1902.14
x91[0..1]  1415 1912.5
x92[0..1]  1415 1912.5
x93[0..1]  1415 1912.5
x94[0..1]  1415 1997.5
x95[0..1]  1415 1997.5
x96[0..1]  1415 1997.5
x97[0..1]  1415 1895
x98[0..1]  1415 1895
x99[0..1]  1415 1895
x100[0..1]  1415 -1
x101[0..1]  1415 1415
x102[0..1]  1415 -1
x103[0..1]  1415 1415
x104[0..1]  1415 -1
x105[0..1]  1415 1415
x106[0..1]  1415 1502.5
x107[0..1]  1415 1502.5
x108[0..1]  1415 1502.5

clique constraint 5 -> c6: x109  + x110  + x111  + x112  + x113  + x114  + x115  + x116  + x117  + x118  + x119  + x120  + x121  + x122  + x123  + x124  + x125  + x126  + x127  + x128  + x129  + x130  + x131  + x132  + x133  + x134  + x135  == 1 
Var    setTo0      setTo1
x109[0..1]  1415 1572.5
x110[0..1]  1415 1572.5
x111[0..1]  1415 1572.5
x112[0..1]  1415 1737.5
x113[0..1]  1415 1737.5
x114[0..1]  1415 1737.5
x115[0..1]  1415 1704.29
x116[0..1]  1415 1704.29
x117[0..1]  1415 1704.29
x118[0..1]  1415 2086.07
x119[0..1]  1415 2086.07
x120[0..1]  1415 2086.07
x121[0..1]  1415 1937.5
x122[0..1]  1415 1937.5
x123[0..1]  1415 1937.5
x124[0..1]  1415 2022.5
x125[0..1]  1415 2022.5
x126[0..1]  1415 2022.5
x127[0..1]  1415 1945
x128[0..1]  1415 1945
x129[0..1]  1415 1945
x130[0..1]  1415 1502.5
x131[0..1]  1415 1502.5
x132[0..1]  1415 1502.5
x133[0..1]  1415 -1
x134[0..1]  1415 1415
x135[0..1]  1415 -1

clique constraint 6 -> c7: x136  + x137  + x138  + x139  + x140  + x141  + x142  + x143  + x144  + x145  + x146  + x147  + x148  + x149  + x150  + x151  + x152  + x153  + x154  + x155  + x156  + x157  + x158  + x159  + x160  + x161  + x162  == 1 
Var    setTo0      setTo1
x136[0..1]  1415 1415
x137[0..1]  1415 -1
x138[0..1]  1415 1415
x139[0..1]  1415 1560
x140[0..1]  1415 1560
x141[0..1]  1415 1560
x142[0..1]  1415 1795
x143[0..1]  1415 1795
x144[0..1]  1415 1795
x145[0..1]  1415 1725.71
x146[0..1]  1415 1725.71
x147[0..1]  1415 1725.71
x148[0..1]  1415 2051.07
x149[0..1]  1415 2051.07
x150[0..1]  1415 2051.07
x151[0..1]  1415 1685
x152[0..1]  1415 1685
x153[0..1]  1415 1685
x154[0..1]  1415 1782.5
x155[0..1]  1415 1782.5
x156[0..1]  1415 1782.5
x157[0..1]  1415 1762.5
x158[0..1]  1415 1762.5
x159[0..1]  1415 1762.5
x160[0..1]  1415 1572.5
x161[0..1]  1415 1572.5
x162[0..1]  1415 1572.5

clique constraint 7 -> c8: x163  + x164  + x165  + x166  + x167  + x168  + x169  + x170  + x171  + x172  + x173  + x174  + x175  + x176  + x177  + x178  + x179  + x180  + x181  + x182  + x183  + x184  + x185  + x186  + x187  + x188  + x189  == 1 
Var    setTo0      setTo1
x163[0..1]  1415 1560
x164[0..1]  1415 1560
x165[0..1]  1415 1560
x166[0..1]  1415 -1
x167[0..1]  1415 1415
x168[0..1]  1415 -1
x169[0..1]  1415 1415
x170[0..1]  1415 -1
x171[0..1]  1415 1415
x172[0..1]  1415 1617.5
x173[0..1]  1415 1617.5
x174[0..1]  1415 1617.5
x175[0..1]  1415 1682.86
x176[0..1]  1415 1682.86
x177[0..1]  1415 1682.86
x178[0..1]  1415 1642.86
x179[0..1]  1415 1642.86
x180[0..1]  1415 1642.86
x181[0..1]  1415 1535
x182[0..1]  1415 1535
x183[0..1]  1415 1535
x184[0..1]  1415 1565
x185[0..1]  1415 1565
x186[0..1]  1415 1565
x187[0..1]  1415 1497.5
x188[0..1]  1415 1497.5
x189[0..1]  1415 1497.5
