MIP: protfold.mps
LP relaxation result: -41.9574


clique constraint 1 -> einsatz_1: x#49#1  + x#48#1  + x#47#1  + x#46#1  + x#45#1  + x#44#1  + x#43#1  + x#42#1  + x#41#1  + x#40#1  + x#39#1  + x#38#1  + x#37#1  + x#36#1  + x#35#1  + x#34#1  + x#33#1  + x#32#1  + x#31#1  + x#30#1  + x#29#1  + x#28#1  + x#27#1  + x#26#1  + x#25#1  + x#24#1  + x#23#1  + x#22#1  + x#21#1  + x#20#1  + x#19#1  + x#18#1  + x#17#1  + x#16#1  + x#15#1  + x#14#1  + x#13#1  + x#12#1  + x#11#1  + x#10#1  + x#9#1  + x#8#1  + x#7#1  + x#6#1  + x#5#1  + x#4#1  + x#3#1  + x#2#1  + x#1#1  == 1 
Var    setTo0      setTo1
x#49#1[0..1]  -41.9574 -40.381
x#48#1[0..1]  -41.9574 -40.381
x#47#1[0..1]  -41.9574 -40.381
x#46#1[0..1]  -41.9574 -40.381
x#45#1[0..1]  -41.9574 -40.381
x#44#1[0..1]  -41.9574 -40.3636
x#43#1[0..1]  -41.9574 -40.1778
x#42#1[0..1]  -41.9574 -40.381
x#41#1[0..1]  -41.9574 -40.381
x#40#1[0..1]  -41.9574 -40.381
x#39#1[0..1]  -41.9574 -40.381
x#38#1[0..1]  -41.9574 -40.381
x#37#1[0..1]  -41.9574 -40.381
x#36#1[0..1]  -41.9574 -40.3636
x#35#1[0..1]  -41.9574 -40.381
x#34#1[0..1]  -41.9574 -40.381
x#33#1[0..1]  -41.9574 -40.381
x#32#1[0..1]  -41.9574 -40.381
x#31#1[0..1]  -41.9574 -40.381
x#30#1[0..1]  -41.9574 -40.381
x#29#1[0..1]  -41.9574 -40.381
x#28#1[0..1]  -41.9574 -40.381
x#27#1[0..1]  -41.9574 -40.381
x#26#1[0..1]  -41.9574 -40.381
x#25#1[0..1]  -41.9574 -40.381
x#24#1[0..1]  -41.9574 -40.381
x#23#1[0..1]  -41.9574 -40.381
x#22#1[0..1]  -41.9574 -40.381
